HOT PICKS,Code Number,Hardcover/Paperback,Name of book,Author,Genre,Goodreads Link,Publisher,Year
,T083PA,Paperback,The Keeper,Natasha Mostert,Paranormal,https://www.goodreads.com/book/show/6392977-the-keeper,,
,T007LT,Paperback,One Night At A Call Centre,Chetan Bhagat,Light Fiction,https://www.goodreads.com/book/show/105580.one_night_the_call_center,,
,T106LT,Paperback,Piece of Cake,Swati Kaushal,Light Fiction,https://www.goodreads.com/book/show/12063863-piece-of-cake,,
,T010LT,Paperback,Revolution 2020,Chetan Bhagat,Light Fiction,https://www.goodreads.com/book/show/12615008-revolution-2020,,
,T061LT,Paperback,The Naughty Girls' Book Club,Sophie Hart,Light Fiction,https://www.goodreads.com/book/show/17830795-the-naughty-girls-book-club,,
,T008LT,Paperback,The Three Mistakes of My Life,Chetan Bhagat,Light Fiction,https://www.goodreads.com/book/show/3320520-the-3-mistakes-of-my-life,,
,T033LF,Paperback,A Gentleman in Moscow,Amor Towles,Literary Fiction,https://www.goodreads.com/book/show/28789553-a-gentleman-in-moscow,,
,T051HF,Paperback,A Golden Age,Tahmima Anam,Historical Fiction /Bangladesh,https://www.goodreads.com/book/show/25251135-a-golden-age,,
,T172HF,Paperback,All The Light We Cannot See,Anthony Doerr,Historical Fiction,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,,
,Z231HF,Paperback,All the Light We Cannot See,Anthony Doerr,Historical Fiction,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see?ac=1&from_search=true,,
,T036HF,Paperback,And The Mountains Echoed,Khaled Hosseini,Historical Fiction,https://www.goodreads.com/book/show/17617027-and-the-mountains-echoed,,
,T092HF,Paperback,Birds of Prey,Wilbur Smith,Fiction,https://www.goodreads.com/book/show/906577.Birds_of_Prey,,
,T118HF,Hardcover,Flood of Fire ( Ibis Trilogy #2),Amitava Ghosh,Historical Fiction/Asian,https://www.goodreads.com/book/show/21375203-flood-of-fire,,
,T045HF,Paperback,Half Of A Yellow Sun,Chimamanda Ngozi Adichie,Historical Fiction/African,https://www.goodreads.com/book/show/23018751-half-of-a-yellow-sun,,
,T021HF,Paperback,My Name is Red,Orhan Pamuk,Historical Fiction/Turkish,https://www.goodreads.com/book/show/2517.My_Name_is_Red?from_search=true,,
,T062HF,Paperback,Redemption(Trinity #2),Leon Uris,Historical Fiction/War,https://www.goodreads.com/book/show/1276867.Redemption,,
,Z161HF,Paperback,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer and Anne Barrows,Historical Fiction/Epistolary,https://www.goodreads.com/book/show/2728527-the-guernsey-literary-and-potato-peel-pie-society?ac=1&from_search=true,,
,Z090HF,Paperback,The Help,Kathryn Stockett,Historical Fiction,https://www.goodreads.com/book/show/4667024-the-help?ac=1&from_search=true,,
,T120HF,Paperback,The Inheritance of Loss,Kiran Desai,Fiction/Philosophy,https://www.goodreads.com/book/show/15749408-the-inheritance-of-loss,,
,Z263HF,Paperback,The Last Days of Night,Graham Moore,Historical Fiction,https://www.goodreads.com/book/show/31119251-the-last-days-of-night,,
,Z086HF,Paperback,The Miniaturist,Jessie Burton,Historical Fiction,https://www.goodreads.com/book/show/18498569-the-miniaturist?ac=1&from_search=true,,
,T102HF,Paperback,The Mountain of Light,Indu Sundaresan,Historical Fiction,https://www.goodreads.com/book/show/18760446-the-mountain-of-light,,
,T177HF,Paperback,The Narrow Road to the Deep North,Richard Flanagan,Historical Fiction,https://www.goodreads.com/book/show/23346361-the-narrow-road-to-the-deep-north,,
,T029HF,Paperback,The Thousand Autumns of Jacob de Zoet,David Mitchell,Historical Fiction,https://www.goodreads.com/book/show/8720194-the-thousand-autumns-of-jacob-de-zoet,,
,T084HF,Paperback,Train to Pakistan,Khushwant Singh,Historical Fiction,https://www.goodreads.com/book/show/9500142-train-to-pakistan,,
,Z140NF,Paperback,A Short History of Nearly Everything,Bill Bryson,Non-Fiction,https://www.goodreads.com/book/show/437143.A_Short_History_of_Nearly_Everything,,
,T079NF,Paperback,Freakonomics,Steven D. Levity/ Stephen J. Dubner,Non-fiction / Business,https://www.goodreads.com/book/show/301931.Freakonomics,,
,Z137FN,Paperback,Freedom at Midnight,Larry Collins,Non-Fiction,https://www.goodreads.com/book/show/22430648-freedom-at-midnight,,
,Z116NF,Paperback,In My Mother's Shoes,Alison Walsh,Non-Fiction,https://www.goodreads.com/book/show/8144204-in-my-mother-s-shoes?ac=1&from_search=true,,
,T078NF,Paperback,Indian Thought,Ed : R. K. Narayan,Non-Fiction / Essays,https://www.goodreads.com/book/show/7500779-indian-thought,,
,Z063NF,Paperback,It's Not That I'm Bitter,Gina Barreca,Non-Fiction,https://www.goodreads.com/book/show/6405908-it-s-not-that-i-m-bitter?ac=1&from_search=true,,
,Z173NF,Paperback,News of a Kidnapping,Gabriel Garcia Marquez,Non-fiction,https://www.goodreads.com/book/show/2507330.News_of_a_Kidnapping,,
,T096NF,Hardcover,On Saudi Arabia,Karen Elliott House,Non-Fiction,https://www.goodreads.com/book/show/13330905-on-saudi-arabia,,
,Z130NF,Paperback,Rough Music,Tariq Ali,Non-Fiction,https://www.goodreads.com/book/show/184331.Rough_Music?ac=1&from_search=true,,
,T076NF,Paperback,Stay Hungry Stay Foolish,Rashmi Bansal,Non-Fiction,https://www.goodreads.com/book/show/4765642-stay-hungry-stay-foolish?ac=1&from_search=true,,
,Z069NF,Hardcover,The Book of General Ignorance,John Lloyd and John Mitchinson,Non-Fiction,https://www.goodreads.com/book/show/829656.The_Book_Of_General_Ignorance,,
,T162NF,Paperback,The Care and Keeping of You (The Body Book for Girls #1),,Non-Fiction (Children),https://www.goodreads.com/book/show/16231153-the-care-and-keeping-of-you-1,,
,T163NF,Paperback,The Care and Keeping of You (The Body Book for Girls #2),,Non-Fiction (Children),https://www.goodreads.com/book/show/16231153-the-care-and-keeping-of-you-2,,
,Z073NF,Paperback,The End of Your Life Book Club,Will Schwalbe,Non-Fiction,https://www.goodreads.com/book/show/16300431-the-end-of-your-life-book-club,,
,T111FN,Paperback,The Five People You Meet in Heaven,Mitch Albom,Fiction/ Spirituality,https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven,,
,Z228NF,Paperback,The Fragrance of Guava,Marquez and Mendoza,Non-Fiction,https://www.goodreads.com/book/show/527181.The_Fragrance_of_the_Guava?ac=1&from_search=true,,
,Z138NF,Paperback,The Penguin History of the Twentieth Century,J. M. Roberts,Non-Fiction,https://www.goodreads.com/book/show/640954.The_Penguin_History_of_the_Twentieth_Century?ac=1&from_search=true,,
,Z139NF,Paperback,The Stuff of Thought,Steven Pinker,Non-Fiction,https://www.goodreads.com/book/show/3108476-the-stuff-of-thought,,
,T108NF,Paperback,"Thinking, Fast and Slow",Daniel Kahneman,Non-Fiction/ Self-Help,https://www.goodreads.com/book/show/14062004-thinking-fast-and-slow,,
,Z103NF,Paperback,Three Cups of Tea,Greg Mortenson and David Oliver Relin,Non-Fiction,https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea?ac=1&from_search=true,,
,Z081NF,Paperback,Typhoid Mary,Anthony Bourdain,Non-Fiction,https://www.goodreads.com/book/show/164449.Typhoid_Mary,,
,Z034NF,Paperback,Women Who Run With The Wolves,Clarissa Pinkola Estes,Non-Fiction,https://www.goodreads.com/book/show/1396150.Women_Who_Run_With_The_Wolves,,
,Z155HF,Paperback,Do Not Say We Have Nothing,Madeleine Thien,Historical Fiction,https://www.goodreads.com/book/show/30037751-do-not-say-we-have-nothing,,
,Z248HF,Paperback,My Name is Red,Orhan Pamuk,Hstorical Fiction,https://www.goodreads.com/book/show/2517.My_Name_is_Red?ac=1&from_search=true,,
HOT PICKS,Z004FY,Paperback,A Court of Wings and Ruin,Sarah Maas,Fantasy/New Adult,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin,,
,Z061FY,Paperback,Blood of Wonderland,Colleen Oakes,Fantasy/Young Adult,https://www.goodreads.com/book/show/30166599-blood-of-wonderland?ac=1&from_search=true,,
,T134FY,Hardcover,Fantastic Beasts and Where to Find Them,J. K. Rowling,Fantasy,https://www.goodreads.com/book/show/6351469-fantastic-beasts-and-where-to-find-them,,
,T131FY,Paperback,Harry Potter and The Order of the Phoenix,J. K. Rowling,Fantasy,https://www.goodreads.com/book/show/18271937-harry-potter-and-the-order-of-the-phoenix,,
